Website,window.onload,document.createElement
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-write-string-coerce.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/RNTesterTitle.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ngOptions.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-agent-no-protocol.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-dgram-createSocket-type.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-assert-typedarray-deepequal.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/TouchableOpacity.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/z-not-found.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-child-process-spawn-typeerror.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-open-flags.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ngModelOptions.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-readdir-stack-overflow.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/PerformanceOverlay.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/RCTInputAccessoryViewNativeComponent.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ngStyleSpec-obfuscated.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-code-cache-generator.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/PickerIOS.ios.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-dns-lookupService.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-read-stream-fd.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/RCTModalHostViewNativeComponent.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-benchmark-async-hooks.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/SassInclusion.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-multi-line-headers.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-highwatermark.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/TestJSLocaleModule.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-child-process-fork-no-shell.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/PixelRatio-test.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/throws_error5.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/process-exit-code-cases.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/tree.html",0,0
